Lead,Model,MAE,R2,RMSE
5,ARIMA,2907.660567646018,0.8949061242718296,4892.254639918654
5,CNN,2571.706777744192,0.9207706287797593,4247.783294931873
5,LSTM,3790.749286640926,0.8350379796015427,6123.814711627423
5,MORN,2435.0,0.94,3567.0
5,RNN,2422.671601301111,0.9277969526709872,4055.0317396990017
5,ANN,2656.47832072282,0.9170712794084132,4345.707836506016
7,ARIMA,4298.941025214379,0.7738868599113026,7148.259284985343
7,CNN,3714.0705184390376,0.8451544728331487,5915.337461987988
7,LSTM,4430.6920028672275,0.7786143146831255,7049.163736825055
7,MORN,3028.0,0.91,4389.0
7,RNN,3559.9652393672313,0.8546304804341082,5731.377404315717
7,ANN,3739.143612474287,0.8428403684465767,5959.316710102027
10,ARIMA,6192.628560298074,0.5224473594907217,10312.562536357069
10,CNN,5044.702834166436,0.7280230547032125,7782.516811881338
10,LSTM,5521.430268084339,0.6719245861466602,8538.458400763893
10,MORN,3580.0,0.871,5367.0
10,RNN,4910.915770629541,0.7373644060586839,7647.707086751828
10,ANN,5161.237105074234,0.71521582557041,7962.721957462192
